"","bondsettype","county","year","moneybond","moneybond_no","moneybond_yes","prbond","prbond_no","prbond_yes","totalnewfiling"
"252","Misdemeanor","El Paso","2016","3,212","2,841","371","1,087","1,020","67","4,299"
"253","Misdemeanor","Elbert","2014","152","137","15","75","66","9","227"
"254","Misdemeanor","Elbert","2015","162","137","25","81","69","12","243"
"255","Misdemeanor","Elbert","2016","154","138","16","116","95","21","270"
"256","Misdemeanor","Fremont","2014","399","337","62","94","79","15","493"
"257","Misdemeanor","Fremont","2015","445","390","55","219","172","47","664"
"258","Misdemeanor","Fremont","2016","198","162","36","586","513","73","784"
"259","Misdemeanor","Garfield","2014","620","492","128","310","244","66","930"
"260","Misdemeanor","Garfield","2015","671","550","121","308","272","36","979"
"261","Misdemeanor","Garfield","2016","590","504","86","355","297","58","945"
"262","Misdemeanor","Gilpin","2014","286","254","32","73","62","11","359"
"263","Misdemeanor","Gilpin","2015","356","309","47","122","113","9","478"
"264","Misdemeanor","Gilpin","2016","231","209","22","122","109","13","353"
"265","Misdemeanor","Grand","2014","223","202","21","19","18","1","242"
"266","Misdemeanor","Grand","2015","182","162","20","62","56","6","244"
"267","Misdemeanor","Grand","2016","181","159","22","93","77","16","274"
"268","Misdemeanor","Gunnison","2014","256","226","30","41","38","3","297"
"269","Misdemeanor","Gunnison","2015","294","256","38","53","44","9","347"
"270","Misdemeanor","Gunnison","2016","283","243","40","42","36","6","325"
"271","Misdemeanor","Hinsdale","2014","4","4",NA,NA,NA,NA,"4"
"272","Misdemeanor","Hinsdale","2015","5","5",NA,NA,NA,NA,"5"
"273","Misdemeanor","Hinsdale","2016","1","1",NA,NA,NA,NA,"1"
"274","Misdemeanor","Huerfano","2014","107","94","13","25","24","1","132"
"275","Misdemeanor","Huerfano","2015","100","81","19","26","22","4","126"
"276","Misdemeanor","Huerfano","2016","88","79","9","36","29","7","124"
"277","Misdemeanor","Jackson","2014","11","9","2","12","9","3","23"
"278","Misdemeanor","Jackson","2015","8","7","1","7","6","1","15"
"279","Misdemeanor","Jackson","2016","3","3",NA,"3","2","1","6"
"280","Misdemeanor","Jefferson","2014","2,360","2,079","281","806","739","67","3,166"
"281","Misdemeanor","Jefferson","2015","2,321","2,022","299","952","862","90","3,273"
"282","Misdemeanor","Jefferson","2016","2,285","2,022","263","1,046","957","89","3,331"
"283","Misdemeanor","Kiowa","2014","44","41","3","2","2",NA,"46"
"284","Misdemeanor","Kiowa","2015","26","25","1","4","4",NA,"30"
"285","Misdemeanor","Kiowa","2016","26","24","2","3","3",NA,"29"
"286","Misdemeanor","Kit Carson","2014","112","101","11","37","29","8","149"
"287","Misdemeanor","Kit Carson","2015","105","94","11","58","51","7","163"
"288","Misdemeanor","Kit Carson","2016","108","88","20","70","61","9","178"
"289","Misdemeanor","La Plata","2014","450","389","61","380","303","77","830"
"290","Misdemeanor","La Plata","2015","547","476","71","507","408","99","1,054"
"291","Misdemeanor","La Plata","2016","617","549","68","430","366","64","1,047"
"292","Misdemeanor","Lake","2014","107","91","16","64","51","13","171"
"293","Misdemeanor","Lake","2015","182","148","34","67","56","11","249"
"294","Misdemeanor","Lake","2016","150","122","28","47","43","4","197"
"295","Misdemeanor","Larimer","2014","1,350","1,091","259","2,986","2,705","281","4,336"
"296","Misdemeanor","Larimer","2015","1,459","1,181","278","2,908","2,581","327","4,367"
"297","Misdemeanor","Larimer","2016","1,395","1,133","262","2,827","2,542","285","4,222"
