"","county","year","money_bond_freq","pr_bond_freq","total_bond_freq","off_type","money_posted","money_bond_new_no","money_new_yes","pr_posted","pr_new_no","pr_new_yes","total_new"
"169","San Miguel",2014,134,33,167,"Misdemeanor",110,92,18,29,21,8,139
"170","San Miguel",2015,143,30,173,"Misdemeanor",114,102,12,31,26,5,145
"171","San Miguel",2016,209,25,234,"Misdemeanor",179,162,17,22,20,2,201
"172","Sedgwick",2014,36,7,43,"Misdemeanor",20,19,1,6,6,NA,26
"173","Sedgwick",2015,56,15,71,"Misdemeanor",25,24,1,15,12,3,40
"174","Sedgwick",2016,62,7,69,"Misdemeanor",31,29,2,7,7,NA,38
"175","Summit",2014,862,63,925,"Misdemeanor",647,573,74,69,61,8,716
"176","Summit",2015,938,110,1048,"Misdemeanor",709,616,93,107,89,18,816
"177","Summit",2016,820,112,932,"Misdemeanor",570,511,59,108,84,24,678
"178","Teller",2014,529,139,668,"Misdemeanor",406,367,39,127,114,13,533
"179","Teller",2015,504,121,625,"Misdemeanor",341,302,39,111,100,11,452
"180","Teller",2016,461,119,580,"Misdemeanor",278,244,34,114,110,4,392
"181","Washington",2014,67,29,96,"Misdemeanor",43,42,1,31,29,2,74
"182","Washington",2015,80,37,117,"Misdemeanor",54,47,7,36,33,3,90
"183","Washington",2016,97,25,122,"Misdemeanor",46,44,2,23,22,1,69
"184","Weld",2014,3329,1343,4672,"Misdemeanor",2227,1839,388,1092,967,125,3319
"185","Weld",2015,3200,2156,5356,"Misdemeanor",2037,1631,406,1911,1658,253,3948
"186","Weld",2016,2677,2747,5424,"Misdemeanor",1627,1301,326,2256,1972,284,3883
"187","Yuma",2014,90,22,112,"Misdemeanor",65,60,5,21,20,1,86
"188","Yuma",2015,121,30,151,"Misdemeanor",85,73,12,31,25,6,116
"189","Yuma",2016,107,39,146,"Misdemeanor",74,62,12,33,27,6,107
"190","Adams",2014,3166,215,3381,"Felony",1846,1467,379,221,195,26,2067
"191","Adams",2015,3305,354,3659,"Felony",1916,1517,399,345,286,59,2261
"192","Adams",2016,3307,713,4020,"Felony",1835,1444,391,720,619,101,2555
"193","Alamosa",2014,212,84,296,"Felony",108,84,24,82,67,15,190
"194","Alamosa",2015,260,86,346,"Felony",138,99,39,85,68,17,223
"195","Alamosa",2016,341,215,556,"Felony",165,122,43,214,167,47,379
"196","Arapahoe",2014,2631,364,2995,"Felony",1501,1206,295,356,302,54,1857
"197","Arapahoe",2015,2482,668,3150,"Felony",1504,1226,278,668,565,103,2172
"198","Arapahoe",2016,2709,503,3212,"Felony",1692,1432,260,507,443,64,2199
"199","Archuleta",2014,46,41,87,"Felony",30,22,8,42,33,9,72
"200","Archuleta",2015,46,36,82,"Felony",31,22,9,36,28,8,67
"201","Archuleta",2016,49,46,95,"Felony",32,21,11,47,27,20,79
"202","Baca",2014,27,3,30,"Felony",17,13,4,3,3,NA,20
"203","Baca",2015,18,11,29,"Felony",13,8,5,10,10,NA,23
"204","Baca",2016,26,6,32,"Felony",10,9,1,6,4,2,16
"205","Bent",2014,35,14,49,"Felony",28,17,11,15,10,5,43
"206","Bent",2015,30,18,48,"Felony",24,16,8,16,13,3,40
"207","Bent",2016,53,13,66,"Felony",35,25,10,12,6,6,47
"208","Boulder",2014,1548,215,1763,"Felony",842,715,127,235,217,18,1077
"209","Boulder",2015,1630,294,1924,"Felony",904,756,148,308,282,26,1212
"210","Boulder",2016,1662,536,2198,"Felony",898,763,135,550,496,54,1448
"211","Broomfield",2014,285,11,296,"Felony",199,167,32,11,10,1,210
"212","Broomfield",2015,275,17,292,"Felony",173,141,32,18,17,1,191
"213","Broomfield",2016,265,68,333,"Felony",170,140,30,69,61,8,239
"214","Chaffee",2014,103,23,126,"Felony",67,58,9,25,24,1,92
"215","Chaffee",2015,122,36,158,"Felony",60,50,10,36,29,7,96
"216","Chaffee",2016,129,54,183,"Felony",56,42,14,57,44,13,113
"217","Cheyenne",2014,10,3,13,"Felony",5,4,1,2,2,NA,7
"218","Cheyenne",2015,7,1,8,"Felony",7,7,NA,1,1,NA,8
"219","Cheyenne",2016,11,2,13,"Felony",10,7,3,1,1,NA,11
"220","Clear Creek",2014,79,4,83,"Felony",55,48,7,3,3,NA,58
"221","Clear Creek",2015,63,4,67,"Felony",41,33,8,4,2,2,45
"222","Clear Creek",2016,80,6,86,"Felony",51,45,6,5,4,1,56
"223","Conejos",2014,36,14,50,"Felony",16,12,4,13,11,2,29
"224","Conejos",2015,51,17,68,"Felony",38,28,10,19,13,6,57
"225","Conejos",2016,75,27,102,"Felony",50,32,18,26,22,4,76
"226","Costilla",2014,34,10,44,"Felony",26,20,6,6,5,1,32
"227","Costilla",2015,41,5,46,"Felony",34,29,5,7,7,NA,41
"228","Costilla",2016,33,17,50,"Felony",23,22,1,14,14,NA,37
"229","Crowley",2014,26,2,28,"Felony",17,13,4,4,2,2,21
"230","Crowley",2015,25,20,45,"Felony",20,16,4,21,18,3,41
"231","Crowley",2016,55,9,64,"Felony",40,33,7,10,5,5,50
"232","Custer",2014,17,4,21,"Felony",14,12,2,3,2,1,17
"233","Custer",2015,19,5,24,"Felony",8,8,NA,8,8,NA,16
"234","Custer",2016,39,11,50,"Felony",24,23,1,12,11,1,36
"235","Delta",2014,117,11,128,"Felony",65,46,19,32,23,9,97
"236","Delta",2015,112,13,125,"Felony",61,40,21,35,29,6,96
"237","Delta",2016,114,15,129,"Felony",59,41,18,42,36,6,101
"238","Denver",2014,3817,1271,5088,"Felony",1936,1632,304,1313,1186,127,3249
"239","Denver",2015,4036,1319,5355,"Felony",2069,1751,318,1446,1291,155,3515
"240","Denver",2016,4037,2572,6609,"Felony",1902,1621,281,2619,2286,333,4521
"241","Dolores",2014,3,5,8,"Felony",3,2,1,5,4,1,8
"242","Dolores",2015,9,2,11,"Felony",5,4,1,2,2,NA,7
"243","Dolores",2016,16,1,17,"Felony",12,11,1,1,1,NA,13
"244","Douglas",2014,582,112,694,"Felony",343,295,48,110,98,12,453
"245","Douglas",2015,573,197,770,"Felony",357,302,55,198,175,23,555
"246","Douglas",2016,750,279,1029,"Felony",476,419,57,276,244,32,752
"247","Eagle",2014,225,34,259,"Felony",180,164,16,34,32,2,214
"248","Eagle",2015,332,24,356,"Felony",257,238,19,26,26,NA,283
"249","Eagle",2016,283,17,300,"Felony",201,189,12,18,17,1,219
"250","El Paso",2014,5041,318,5359,"Felony",2834,2222,612,366,326,40,3200
"251","El Paso",2015,5260,362,5622,"Felony",2800,2277,523,359,326,33,3159
"252","El Paso",2016,5781,325,6106,"Felony",3043,2546,497,330,301,29,3373
"253","Elbert",2014,53,11,64,"Felony",35,27,8,10,10,NA,45
"254","Elbert",2015,63,19,82,"Felony",46,36,10,19,15,4,65
"255","Elbert",2016,86,35,121,"Felony",64,52,12,35,31,4,99
"256","Fremont",2014,259,64,323,"Felony",170,141,29,41,36,5,211
"257","Fremont",2015,282,93,375,"Felony",149,124,25,88,79,9,237
"258","Fremont",2016,379,230,609,"Felony",144,111,33,220,183,37,364
"259","Garfield",2014,283,88,371,"Felony",194,137,57,106,77,29,300
"260","Garfield",2015,401,84,485,"Felony",252,172,80,108,77,31,360
"261","Garfield",2016,386,138,524,"Felony",258,186,72,150,127,23,408
"262","Gilpin",2014,78,16,94,"Felony",64,56,8,16,15,1,80
"263","Gilpin",2015,149,25,174,"Felony",112,96,16,25,23,2,137
"264","Gilpin",2016,124,27,151,"Felony",77,72,5,28,25,3,105
"265","Grand",2014,63,7,70,"Felony",44,36,8,7,5,2,51
"266","Grand",2015,41,8,49,"Felony",29,25,4,8,8,NA,37
"267","Grand",2016,48,14,62,"Felony",33,27,6,14,12,2,47
"268","Gunnison",2014,85,7,92,"Felony",73,60,13,7,7,NA,80
"269","Gunnison",2015,72,15,87,"Felony",53,46,7,14,11,3,67
"270","Gunnison",2016,102,13,115,"Felony",76,55,21,11,9,2,87
"271","Hinsdale",2014,2,1,3,"Felony",1,1,NA,1,1,NA,2
"272","Hinsdale",2015,3,NA,3,"Felony",2,2,NA,1,1,NA,3
"273","Hinsdale",2016,2,2,4,"Felony",2,2,NA,1,NA,1,3
"274","Huerfano",2014,78,36,114,"Felony",47,34,13,37,31,6,84
"275","Huerfano",2015,69,20,89,"Felony",45,34,11,20,15,5,65
"276","Huerfano",2016,96,41,137,"Felony",59,49,10,42,28,14,101
