fips,year,county,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,jud_district,medianHI,medianHI_MOE,povertyR
8041,2015,"El Paso",59,8076,1069,9145,"Misdemeanor",3720,3262,458,1097,1030,67,4817,4,60050,1755,11.0
8041,2015,"El Paso",251,5260,362,5622,"Felony",2800,2277,523,359,326,33,3159,4,60050,1755,11.0
8041,2016,"El Paso",60,8061,1074,9135,"Misdemeanor",3212,2841,371,1087,1020,67,4299,4,63610,2125,11.5
8041,2016,"El Paso",252,5781,325,6106,"Felony",3043,2546,497,330,301,29,3373,4,63610,2125,11.5
8039,2014,"Elbert",61,226,77,303,"Misdemeanor",152,137,15,75,66,9,227,18,83603,5738,5.9
8039,2014,"Elbert",253,53,11,64,"Felony",35,27,8,10,10,NA,45,18,83603,5738,5.9
8039,2015,"Elbert",62,240,82,322,"Misdemeanor",162,137,25,81,69,12,243,18,90270,7288,5.9
8039,2015,"Elbert",254,63,19,82,"Felony",46,36,10,19,15,4,65,18,90270,7288,5.9
8039,2016,"Elbert",63,212,117,329,"Misdemeanor",154,138,16,116,95,21,270,18,86693,2835,6.0
8039,2016,"Elbert",255,86,35,121,"Felony",64,52,12,35,31,4,99,18,86693,2835,6.0
8043,2014,"Fremont",64,563,193,756,"Misdemeanor",399,337,62,94,79,15,493,11,41385,3023,19.1
8043,2014,"Fremont",256,259,64,323,"Felony",170,141,29,41,36,5,211,11,41385,3023,19.1
8043,2015,"Fremont",65,636,226,862,"Misdemeanor",445,390,55,219,172,47,664,11,41967,3403,17.2
8043,2015,"Fremont",257,282,93,375,"Felony",149,124,25,88,79,9,237,11,41967,3403,17.2
8043,2016,"Fremont",66,423,594,1017,"Misdemeanor",198,162,36,586,513,73,784,11,46372,4399,17.5
8043,2016,"Fremont",258,379,230,609,"Felony",144,111,33,220,183,37,364,11,46372,4399,17.5
8045,2014,"Garfield",67,1057,271,1328,"Misdemeanor",620,492,128,310,244,66,930,9,62529,4738,10.2
8045,2014,"Garfield",259,283,88,371,"Felony",194,137,57,106,77,29,300,9,62529,4738,10.2
8045,2015,"Garfield",68,1104,288,1392,"Misdemeanor",671,550,121,308,272,36,979,9,64487,5701,10.3
8045,2015,"Garfield",260,401,84,485,"Felony",252,172,80,108,77,31,360,9,64487,5701,10.3
8045,2016,"Garfield",69,1113,326,1439,"Misdemeanor",590,504,86,355,297,58,945,9,69161,4740,9.1
8045,2016,"Garfield",261,386,138,524,"Felony",258,186,72,150,127,23,408,9,69161,4740,9.1
8047,2014,"Gilpin",70,422,72,494,"Misdemeanor",286,254,32,73,62,11,359,1,64752,6701,7.9
8047,2014,"Gilpin",262,78,16,94,"Felony",64,56,8,16,15,1,80,1,64752,6701,7.9
8047,2015,"Gilpin",71,509,122,631,"Misdemeanor",356,309,47,122,113,9,478,1,67389,5934,8.0
8047,2015,"Gilpin",263,149,25,174,"Felony",112,96,16,25,23,2,137,1,67389,5934,8.0
8047,2016,"Gilpin",72,384,126,510,"Misdemeanor",231,209,22,122,109,13,353,1,65472,7081,7.5
8047,2016,"Gilpin",264,124,27,151,"Felony",77,72,5,28,25,3,105,1,65472,7081,7.5
8049,2014,"Grand",73,303,21,324,"Misdemeanor",223,202,21,19,18,1,242,14,59379,5697,10.4
8049,2014,"Grand",265,63,7,70,"Felony",44,36,8,7,5,2,51,14,59379,5697,10.4
8049,2015,"Grand",74,240,65,305,"Misdemeanor",182,162,20,62,56,6,244,14,59885,6077,8.3
8049,2015,"Grand",266,41,8,49,"Felony",29,25,4,8,8,NA,37,14,59885,6077,8.3
8049,2016,"Grand",75,258,95,353,"Misdemeanor",181,159,22,93,77,16,274,14,63875,6083,8.2
8049,2016,"Grand",267,48,14,62,"Felony",33,27,6,14,12,2,47,14,63875,6083,8.2
8051,2014,"Gunnison",76,326,40,366,"Misdemeanor",256,226,30,41,38,3,297,7,48940,5024,14.9
8051,2014,"Gunnison",268,85,7,92,"Felony",73,60,13,7,7,NA,80,7,48940,5024,14.9
8051,2015,"Gunnison",77,363,48,411,"Misdemeanor",294,256,38,53,44,9,347,7,47619,4414,12.5
8051,2015,"Gunnison",269,72,15,87,"Felony",53,46,7,14,11,3,67,7,47619,4414,12.5
8051,2016,"Gunnison",78,363,43,406,"Misdemeanor",283,243,40,42,36,6,325,7,53753,5018,13.8
8051,2016,"Gunnison",270,102,13,115,"Felony",76,55,21,11,9,2,87,7,53753,5018,13.8
8053,2014,"Hinsdale",79,10,NA,10,"Misdemeanor",4,4,NA,NA,NA,NA,4,7,51241,5478,10.1
8053,2014,"Hinsdale",271,2,1,3,"Felony",1,1,NA,1,1,NA,2,7,51241,5478,10.1
8053,2015,"Hinsdale",80,6,5,11,"Misdemeanor",5,5,NA,NA,NA,NA,5,7,58613,3925,10.9
8053,2015,"Hinsdale",272,3,NA,3,"Felony",2,2,NA,1,1,NA,3,7,58613,3925,10.9
8053,2016,"Hinsdale",81,6,3,9,"Misdemeanor",1,1,NA,NA,NA,NA,1,7,51717,5648,10.0
8053,2016,"Hinsdale",273,2,2,4,"Felony",2,2,NA,1,NA,1,3,7,51717,5648,10.0
8055,2014,"Huerfano",82,228,25,253,"Misdemeanor",107,94,13,25,24,1,132,3,32750,3421,22.0
8055,2014,"Huerfano",274,78,36,114,"Felony",47,34,13,37,31,6,84,3,32750,3421,22.0
8055,2015,"Huerfano",83,234,26,260,"Misdemeanor",100,81,19,26,22,4,126,3,33098,3344,23.2
8055,2015,"Huerfano",275,69,20,89,"Felony",45,34,11,20,15,5,65,3,33098,3344,23.2
8055,2016,"Huerfano",84,224,36,260,"Misdemeanor",88,79,9,36,29,7,124,3,34626,3081,21.9
