"Population Estimates by Region and County, 2000 - 2017, Vintage 2017, State Demography Office",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,
     Mesa ,"117,649","119,864","121,787","124,152","126,626","128,999","133,128","137,390","140,680","144,795","147,155","147,874","147,865","147,816","147,735","148,597","150,258","151,900",
     Moffat ,"13,182","13,089","13,134","13,054","13,063","12,965","13,102","13,270","13,446","13,544","13,806","13,422","13,169","13,125","12,944","12,952","13,169","13,112",
     Rio Blanco ,"5,967","5,880","5,936","5,855","5,904","5,818","5,981","6,093","6,160","6,317","6,617","6,730","6,751","6,692","6,599","6,480","6,434","6,345",
     Routt ,"20,122","20,436","20,892","21,128","21,293","21,453","21,886","22,415","22,931","23,325","23,439","23,240","23,243","23,563","24,016","24,307","24,667","25,178",
,,,,,,,,,,,,,,,,,,,
   REGION 12,"99,185","101,790","102,767","104,013","104,702","105,426","106,718","108,444","110,354","112,406","113,463","112,883","113,160","114,350","115,871","117,370","118,971","119,764",
     Eagle ,"43,288","44,440","45,100","45,758","46,485","47,278","48,214","49,284","50,301","51,520","52,057","51,840","52,135","52,629","53,091","53,610","54,294","54,662",
     Grand ,"12,852","13,283","13,461","13,688","13,912","13,897","14,135","14,339","14,535","14,664","14,790","14,542","14,203","14,295","14,535","14,686","15,124","15,297",
     Jackson ,"1,574","1,590","1,591","1,586","1,521","1,492","1,443","1,422","1,381","1,386","1,387","1,356","1,324","1,336","1,384","1,350","1,356","1,375",
     Pitkin ,"15,763","16,184","16,101","16,275","16,077","16,136","16,087","16,236","16,673","17,053","17,156","17,151","17,264","17,429","17,664","17,864","17,873","17,875",
     Summit ,"25,708","26,293","26,514","26,706","26,707","26,623","26,839","27,163","27,464","27,783","28,073","27,994","28,234","28,661","29,197","29,860","30,324","30,555",
,,,,,,,,,,,,,,,,,,,
 CENTRAL  MTNS.,"126,145","127,374","128,412","129,364","128,514","128,536","128,583","129,109","129,387","128,193","129,147","128,917","128,562","127,594","127,783","128,836","131,381","134,027",
,,,,,,,,,,,,,,,,,,,
